# shard B · 100 条 · C蒸馏

7370921898932243775	4上	2047
7283137647088766245	6上	2044
7295381462650572082	4上	2043
7341594677906312475	4上	2042
7620440989379976099	3上	2025
7185535610210241850	6上	2023
7387651219768069388	4上	2018
7598842300185236642	5上	2016
7167648779938647333	6上	2009
7420380023871360282	6上	2009
7632592825951791459	5上	2009
7368416273169960203	3上	2001
7310354539918495026	3上	1988
7379085905107160370	2下	1981
7343851989601635625	6上	1980
7376853085487926555	6上	1975
7382825171897306405	6上	1966
7369535435577625875	3上	1964
7322089811240586559	6上	1961
7322268204858903817	6上	1960
7167312281804623134	6上	1959
7345041158088838410	6上	1955
7352761156957637914	6上	1944
7624151050861283471	3下	1938
7382048844093181203	6上	1925
7321123508468075815	3上	1921
7380615798085258534	3上	1916
7453742109300968742	6上	1916
7379825417781251382	6上	1915
7401648800453922057	3上	1915
7368708316723285298	6上	1911
7639309838580974208	5上	1907
7289276682903604491	6上	1902
7376121115795672383	6上	1900
7322356799380737334	6上	1899
7346557113595989298	6上	1898
7436694687034969370	4上	1891
7436405252322086194	3上	1890
7433755285526695178	5上	1889
7323073285351116041	3下	1886
7562753884549598499	4下	1881
7423613863335169307	4上	1876
7349089310458662163	3上	1873
7371646198190574885	4下	1871
7437772918286847269	4上	1871
7323427870930423076	6上	1868
7458932428149640458	6上	1865
7364189268698303780	6上	1864
7377257777326083347	6上	1850
7349021132814601484	6上	1848
7366111386277023026	3上	1847
7306040165158358281	6上	1844
7379167932691008780	3上	1842
7429668709020617993	4下	1842
7368326414086556969	4上	1834
7311551638748171546	3上	1833
7343086691000913193	4上	1833
7358294032860187940	4上	1833
7196167102405856570	4上	1830
7348273796882746665	4上	1830
7371711561007680831	4上	1828
7326682284084481289	4上	1827
7374993282989903140	4上	1827
7418083409693592882	4上	1822
7349750634976955674	4上	1819
7366829998453329190	6上	1819
7311933476536732978	3上	1818
7438965374256680229	3上	1818
7341933455636188479	4上	1809
7393129632591056154	4上	1809
7317202985380089099	6上	1803
7517239913310752063	4上	1790
7358426154962799935	4下	1787
7404673453380488475	4上	1786
7374032915350490422	4上	1783
7319378517257407763	3上	1781
7356024536824827147	4上	1777
7479312731758153011	4下	1775
7306460845406506266	4上	1771
7288288535004695867	6上	1768
7326467406736526604	6上	1766
7391697699227045158	4上	1762
7374586895201848626	4上	1760
7337238620652211468	6上	1758
7348283476895911222	6上	1758
7354970098735516969	4上	1756
7423386316022222117	4上	1756
7325200557986123044	4上	1754
7305600554955296036	4上	1752
7550633108284149034	4下	1752
7320004545088703755	3上	1751
7372034543441808691	4下	1750
7389481005301714203	4上	1749
7370522317815827775	3上	1747
7367936272611953956	3上	1746
7350141799895141683	2下	1744
7365814433169411338	3上	1741
7361276065240616218	3上	1740
7628195011540142050	4下	1740
7352743276719443237	6上	1738
